,Frequency,Pnumber,Abstract
155,2.8368794326241136,CN2582688Y,"The utility model discloses a timing device with a high performance-price ratio for track and field middle and short-distance race, which is characterized in that eight sets of heat release electric sensors at the upper part of a terminal point are used for testing characteristic signals of postures of an athlete's breasting the tape truncus part, and each path athlete's timing score and rank ordering are confirmed through the treatment and the revision of a software of a single-chip microcomputer. The utility model has the advantages that use is convenient, timing precision is high, athlete's score and rank can be displayed or printed in real time, and the utility model can be used for replacing a manual stopwatch completely to be used for timing in sport athletics or physical training occasions."
154,2.8368794326241136,CN2582688Y,"The utility model discloses a timing device with a high performance-price ratio for track and field middle and short-distance race, which is characterized in that eight sets of heat release electric sensors at the upper part of a terminal point are used for testing characteristic signals of postures of an athlete's breasting the tape truncus part, and each path athlete's timing score and rank ordering are confirmed through the treatment and the revision of a software of a single-chip microcomputer. The utility model has the advantages that use is convenient, timing precision is high, athlete's score and rank can be displayed or printed in real time, and the utility model can be used for replacing a manual stopwatch completely to be used for timing in sport athletics or physical training occasions."
76,2.3715415019762847,CN203149679U,"The utility model relates to a wireless starting timing device for timing running. The wireless starting timing device comprises a wireless electronic starting gun, an electronic timer, a photoelectric sensor and an endpoint support, wherein the electronic starting gun comprises a wireless signal transmitting device; the electronic timer comprises a singlechip and a display; a wireless signal receiving device is connected to an input interface of the singlechip; a wireless communication link is arranged between the wireless signal transmitting device and the wireless signal receiving device; the input interface of the singlechip is connected with the photoelectric sensor through a signal wire; an output interface of the singlechip is connected with the display; and the photoelectric sensor is arranged on the endpoint support. According to the wireless starting timing device, the photoelectric sensor is arranged above the endpoint of a racetrack through two upright columns and a steel wire stay cord, so that the wireless starting timing device is simple in structure and easy to mount; and the wireless communication link is used for transmitting a starting signal of the electronic starting gun to the singlechip in the electronic timer, and when the singlechip is started, a large number of cables do not need to be laid, so that the wireless starting timing device can be popularized and applied to speed training in the fields of school sports trainings, sports education and nationwide fitness."
77,2.3715415019762847,CN203149679U,"The utility model relates to a wireless starting timing device for timing running. The wireless starting timing device comprises a wireless electronic starting gun, an electronic timer, a photoelectric sensor and an endpoint support, wherein the electronic starting gun comprises a wireless signal transmitting device; the electronic timer comprises a singlechip and a display; a wireless signal receiving device is connected to an input interface of the singlechip; a wireless communication link is arranged between the wireless signal transmitting device and the wireless signal receiving device; the input interface of the singlechip is connected with the photoelectric sensor through a signal wire; an output interface of the singlechip is connected with the display; and the photoelectric sensor is arranged on the endpoint support. According to the wireless starting timing device, the photoelectric sensor is arranged above the endpoint of a racetrack through two upright columns and a steel wire stay cord, so that the wireless starting timing device is simple in structure and easy to mount; and the wireless communication link is used for transmitting a starting signal of the electronic starting gun to the singlechip in the electronic timer, and when the singlechip is started, a large number of cables do not need to be laid, so that the wireless starting timing device can be popularized and applied to speed training in the fields of school sports trainings, sports education and nationwide fitness."
124,2.34375,US4303241A,A training device for a sports player includes a sensor for generating a timing signal when the trajectory of a ball commences from a predetermined release area. The timer receives the timing signal from the sensor and generates a delayed output signal at a predetermined time interval after the timing signal is received. A vision interrupter device is connected to the timer and positioned in the player's line of vision between the player and the location of the ball release area. The vision interrupting device interrupts the player's vision of the ball when the delayed output singal is received from the timer so that the player can observe the trajectory of the ball for only a predetermined time after it is released.
125,2.34375,US4303241A,A training device for a sports player includes a sensor for generating a timing signal when the trajectory of a ball commences from a predetermined release area. The timer receives the timing signal from the sensor and generates a delayed output signal at a predetermined time interval after the timing signal is received. A vision interrupter device is connected to the timer and positioned in the player's line of vision between the player and the location of the ball release area. The vision interrupting device interrupts the player's vision of the ball when the delayed output singal is received from the timer so that the player can observe the trajectory of the ball for only a predetermined time after it is released.
66,2.1164021164021163,CN203849769U,"The utility model discloses an auxiliary device for runway timing. The auxiliary device comprises a carpet body, a plurality of pressure sensors, a signal transceiver, a wireless signal transmitter and a power supply, wherein the plurality of pressure sensors are evenly distributed inside the carpet body; the signal transceiver, the wireless signal transmitter and the power supply are arranged inside the corner of the carpet body; a switch which is convexly exposed out of the carpet body is also arranged on the power supply; the signal transceiver is electrically connected with the wireless signal transmitter, the power supply and the plurality of pressure sensors respectively. The auxiliary device can transmit the signal generated by touch of the feet of a sportsman and the sensors inside the device to timing equipment, so as to accurately time. The timing accuracy and the timing efficiency are effectively improved, the working strength of a referee is alleviated, and the auxiliary device has the advantages of being reasonable in structure, convenient to use, and the like."
67,2.1164021164021163,CN203849769U,"The utility model discloses an auxiliary device for runway timing. The auxiliary device comprises a carpet body, a plurality of pressure sensors, a signal transceiver, a wireless signal transmitter and a power supply, wherein the plurality of pressure sensors are evenly distributed inside the carpet body; the signal transceiver, the wireless signal transmitter and the power supply are arranged inside the corner of the carpet body; a switch which is convexly exposed out of the carpet body is also arranged on the power supply; the signal transceiver is electrically connected with the wireless signal transmitter, the power supply and the plurality of pressure sensors respectively. The auxiliary device can transmit the signal generated by touch of the feet of a sportsman and the sensors inside the device to timing equipment, so as to accurately time. The timing accuracy and the timing efficiency are effectively improved, the working strength of a referee is alleviated, and the auxiliary device has the advantages of being reasonable in structure, convenient to use, and the like."
25,2.1052631578947367,CN105280171A,"The invention belongs to the field of sports goods, and specially designs a precise and sanitary sports whistle. The precise and sanitary sports whistle comprises a whistle mouth and a whistle body. The whistle is characterized in that a micro sensor is installed inside the whistle mouth; a stopwatch is arranged at the shell of the whistle body, and the stopwatch is equipped with a stopwatch timing start button and a stopwatch timing stop button; and the upper end of the whistle body is provided with a groove, a square cover is arranged at the whistle mouth, and the square cover is sized to match the groove. The precise and sanitary sports whistle is simple in structure and easy to use; whistling and timing can start at the same time, and the timing error is reduced, which is advantageous to the determination of the score; the whistle is safe and sanitary, and bacterial infection via the whistle mouth is avoided; and the whistle is low in cost and can be easily popularized and applied."
24,2.1052631578947367,CN105280171A,"The invention belongs to the field of sports goods, and specially designs a precise and sanitary sports whistle. The precise and sanitary sports whistle comprises a whistle mouth and a whistle body. The whistle is characterized in that a micro sensor is installed inside the whistle mouth; a stopwatch is arranged at the shell of the whistle body, and the stopwatch is equipped with a stopwatch timing start button and a stopwatch timing stop button; and the upper end of the whistle body is provided with a groove, a square cover is arranged at the whistle mouth, and the square cover is sized to match the groove. The precise and sanitary sports whistle is simple in structure and easy to use; whistling and timing can start at the same time, and the timing error is reduced, which is advantageous to the determination of the score; the whistle is safe and sanitary, and bacterial infection via the whistle mouth is avoided; and the whistle is low in cost and can be easily popularized and applied."
