,Frequency,Pnumber,Abstract
145,2.225227910182825e-16,WO2013118103A2,"According to this invention there is provided an aqueous oxidizer solution containing a mixture of dissolved oxidizing salts, for use in the preparation of explosives formulations, which a crystallization point as low as below 0°C. The solution has a water content of 25% by mass or less and contains ammonium nitrate and calcium nitrate wherein the ratio of the the molar concentration of ammonium nitrate to calcium nitrate is preferably approximately 1. When the water content of the solution is 24% by mass or less, the solution further contains monomethylammonium nitrate. This solution can be used for manufacturing watergel explosives, or emulsion explosives or ANE's (ammonium nitrate emulsion suspension or gel explosives). It can be easily transported underground in deep level mines through relatively small diameter pipelines, using existing access ways and shafts, to the working places at which point it can then be converted into a watergel or emulsion explosive or an ANE."
134,2.7728457734886847e-17,WO2013102365A1,"Provided is a site vehicle for mixing and loading multiple kinds of explosives with different detonation velocities. The vehicle contains a double-helix conveying system, a plurality of storage bins (5-8) and multiple sets of pipelines. Emulsified bases, porous granular ammonium nitrate and physical density modifier are stored in the main material storage bins, an adjuvant storage bin is provided with a diesel tank (4, 31), a sensitizing solution tank (40) and a washing water tank (11), and the technical effect that multiple kinds of explosives with different detonation velocities are mixed and loaded can be realized by using the different combinations of the different raw materials of the storage bins and various output pipelines and some baffle plates. The vehicle has the advantages of multiple purposes, capability of producing heavy emulsion explosive, density-modifiable heavy emulsion explosive, low density emulsion explosive, ultra-low density emulsion explosive, heavy ammonium nitrate fuel oil explosive, density-modifiable ammonium nitrate fuel oil explosive, porous granular ammonium nitrate fuel oil explosive, density-modifiable porous granular ammonium nitrate fuel oil explosive, and minor-diameter and long-distance conveying emulsion explosive, and applicability to the needs of various blasting operation environments and loading different kinds of explosives in the same blast hole."
140,3.3519642528129656e-18,WO2013071363A1,"A blasting explosive composition containing a solid inorganic oxidising salt as the oxidizer component, a hydrocarbon liquid as the fuel component, and a binding agent. The composition can also contain an ammonium nitrate based emulsion. The binding agent can increase the water resistance, or increase the sleep time, of the explosive composition, or increase the fuel oil absorbency of the solid inorganic oxidising salt. The binding agent is selected from one or more of a long chain carboxylic acid and its salts and derivatives, especially those having from 8 to 100 or preferably 10 to 50 carbon units. The binding agent may preferably be selected from one or more of: dimer acid, trimer acid, polyisobutylene succinic anhydride, oleic acid, stearic acid, sorbitan tristearate, and their salts and esters."
36,2.147287666482016e-18,WO2016018163A1,"The invention relates to methods for producing explosive compositions formed by ammonium nitrate and fuel, also known as ANFO (Ammonium nitrate/Fuel Oil), and to the explosive compositions formed by bulk emulsion and ANFO, also known as heavy ANFO. The invention especially comprises two types of method for using high-density ammonium nitrate in the production of said explosive compositions."
142,1.6233096417290853e-18,WO2013056631A1,"Disclosed are a low-carbon environmental emulsion explosive and a preparation device for oxidant salt aqueous solution. The emulsion explosive is prepared by sensitizing an emulsion matrix with a sensitization liquid, and the emulsion matrix is prepared by emulsifying oxidant salt aqueous solution and oil phase, wherein the components of the oxidant salt aqueous solution are ammonium nitrate, thiourea and water, and the oil phase is composed of paraffin oil or engine oil, and emulsifier, and the sensitization liquid consists of sodium nitrite, sodium thiocyanate or sodium bicarbonate, and water. The emulsion explosive in this invention not only economizes packaging materials, and relatively reduces carbon dioxide emissions, but also simplifies the formula, and effectively reduces the toxic gas generation. The quantity of the involved toxic gas emission is around 20L/kg. And the emulsion explosive can be transported freely, and is not affected by charging."
133,1.0674101781694383e-19,WO2014033161A2,"The present invention relates to a fertilizer composition comprising ammonium nitrate, of which the potential misuse as a precursor for an explosive is limited on the one hand, without hampering its legitimate use by farmers for food production on the other hand, to a method for the preparation of said fertilizer composition, and to the use thereof. The fertilizer composition comprising ammonium nitrate comprises a non- hygroscopic agent which is able to form a non-hygroscopic fertilizer composition with ammonium nitrate under normal conditions of storage and use, and to form an hygroscopic composition with ammonium nitrate after said fertilizer composition is contacted with water, and optionally a foaming agent. According to one embodiment, the non-hygroscopic agent is selected from the group of non-hygroscopic urea double salts, in particular urea calcium nitrate (UCaN)."
42,1.7469191166528742e-20,WO2015196390A1,"A method for producing emulsion explosive without a charge pump by means of emulsification and sensitization in a static state. Water phase and oil phase enter a static emulsifier for emulsification, and then a latex matrix is introduced into a static sensitization device. A sensitizing agent enters the static sensitization device through a sensitizing agent inlet, the latex matrix and the sensitizing agent are mixed in the static sensitization device, and the sensitized explosive is directly filled into an explosive injection pipe for encapsulation. The static emulsifier and the static sensitization device are adopted to change conventional one-time mixing into multi-time mixing, so the explosive storage amount is greatly reduced, mechanical stirring, shearing and emulsification are not needed during a production process, a sensitization mode with mechanical mixing and stirring is cancelled, fully static high-temperature sensitization is carried out, and safety of the sensitization process is improved. The charge pump on a conventional production line is cancelled, the sensitized explosive is directly filled into the explosive injection pipe, danger points during the production process are reduced, the on-line explosive storage amount is reduced, and essential safety of explosive making and explosive charging is realized."
176,1.7469191166528742e-20,WO2012047333A2,This invention relates to novel salt compositions and to explosive compositions comprising said salt compositions. The salt compositions are useful as emulsifiers in the explosive compositions. The explosive compositions are water-in-oil emulsion explosives.
132,1.7469191166528742e-20,WO2013126154A1,"There is provided an all-electric powered Ammonium Nitrate and Fuel Oil (""ANFO"") vehicle. The all -electric powered ANFO vehicle includes a support structure. This support structure includes a first and second section and a steering section. The support structure also includes a lift apparatus configured to deliver explosives to a mine face in a mine tunnel. A self-contained battery module is removably mounted on the support structure. A pair of wheel sets is coupled to the support structure, with each wheel set including two wheels. One wheel of each wheel set is rotatably coupled on each side of the support structure. A motor is mounted on the support structure and is coupled to at least one wheel and the battery module. A motor controller, including a DC/AC inverter is coupled to the motor and the battery module."
58,1.7469191166528742e-20,WO2015095926A1,"A method, system and apparatus using injection (124) and producer (128) wells to create underground fluidised bed retort systems (110). A cavern (118) for the retort system (110) may be created without the use of explosive mining methods, conventional fracking or other fragmentation methods. The cavern (118) and the fluidised bed (120) are created by the use of high pressure injection jets of pure hot hydrogen gas (H2) and steam upon an oil shale rock (112)."
