,Frequency,Pnumber,Abstract
55,14.285714285714285,CN204302083U,"The utility model provides a portable intelligent wet digestion system. The portable intelligent wet digestion system comprises a main control circuit, a communication circuit connected with the main control circuit, a digestion device for holding a digestion solution, a flame detection device, a liquid level detection device, a gas on/off device, a safety detection device, an alarm circuit, a liquid inlet control device and an electronic ignition device; the gas on/off device is connected with the safety detection device and the digestion device; the alarm circuit is connected with the safety detection device; the flame detection device, the liquid inlet control device, the electronic ignition device and the liquid level detection device are connected with the digestion device; the main control circuit is isolated from the liquid inlet control device and the electronic ignition device; the flame detection device is an infrared sensor or an ultraviolet sensor; the safety detection device is a position sensor. An infrared or ultraviolet ray is adopted to detect a flame and the position sensor is used for measuring gas on and off operation to ensure the normal on and off operation of the gas, and therefore, the safety is improved."
116,13.043478260869565,CN201479108U,"The utility model discloses an intelligent infrared human induction switch, wherein a high efficiency power supply module, an infrared pyroelectric sensor unit, a logic unit and an electronic switching device are sequentially connected; the input end of the high efficiency power module is connected to a power supply, the output end of the high efficiency power module is sequentially connected with the power supply input end of the infrared pyroelectric sensor unit, the power supply input end of the logic unit and the power supply input end of the electronic switching device, the control signal output end of the infrared pyroelectric sensor unit is connected with the control signal input end of the logic unit and outputs control signals to the logic unit, the control signal output end of the logic unit is connected with the control signal input end of the electronic switching device and outputs the control signals to the electronic switching device, and the high efficiency power supply module, the infrared pyroelectric sensor unit, the logic unit and the electronic switching device are installed in a control box. The intelligent infrared human induction switch has low energy consumption, remarkable energy saving effect, wide inductive control range, high inductive sensitivity, ultralong service life, convenient installation and maintenance and reliable operation."
72,11.640211640211643,CN203814014U,"The utility model discloses an LED intelligent stage lamp control device, and relates to the LED lamp control device technology field. The control device comprises a photosensitive sensor, an infrared sensor, an ultrasonic sensor, an analog-digital converter, a microprocessor, a digital analog converter, an electronic switch, an LED power supply drive, an LED light source matrix and a computer control platform. The computer control platform is connected with the input ends of the photosensitive sensor, the infrared sensor and the ultrasonic sensor. The output ends of the photosensitive sensor, the infrared sensor and the ultrasonic sensor are connected with the analog-digital converter. The analog-digital converter is connected with the microprocessor. The microprocessor is connected with the digital analog converter. The digital analog converter is connected with the electronic switch. The electronic switch is connected with the LED power supply drive. The LED power supply drive is connected with the LED light source matrix. Thus control of stage lamps is intelligentized highly and light effects during performance are optimized."
37,11.616161616161618,CN204923134U,"The utility model relates to a protected against explosion smoke ventilator, including the smoke ventilator main part, set up the outside infrared gas sensor of smoke ventilator main part, with the intelligent electronic exhaust device that infrared gas sensor connects, the electronic exhaust device of intelligence includes exhaust fan, check valve piece and intelligent control ware, the intelligent control ware includes singlechip, driver and motor, infrared gas sensor is connected with intelligent electronic exhaust device electricity. The beneficial effects of the utility model are that: the design is simple, and it is convenient to implement, excellent in use effect, and the sexual valence relative altitude, it is very convenient to use, but the toxic gas in the infrared gas sensor detection ring border in case poisonous gas content exceeds standard, starts intelligent electronic exhaust device immediately, and the combustible gas such as the natural gas that can in time clear away the leakage fast are in order to eliminate the danger of probably blasting to improve the person and property safety, thereby accessible time eliminated the potential safety hazard."
27,11.538461538461537,CN205176959U,"The utility model discloses an intelligent door lock installs on the door body be equipped with camera device, microphone, speaker, infrared ray sensor on the door body, intelligent door lock includes: the lock body, be equipped with intelligent control device and RFID electronic lock on the lock body, intelligent control device includes: microprocessor, communication device, with video interface arrangement that the camera device is connected, with microphone interface arrangement that the microphone is connected, with speaker interface arrangement that the speaker is connected, with sensor interface device, vibration sensor, power supply unit and the interface arrangement that charges that infrared ray sensor connects. Adopt the technical scheme of the utility model, can carry out real time monitoring to the lock, understand in real time that the lock is opened, pass state and visitor's identity circumstances."
127,11.382113821138212,CN1581243A,"The present invention relates to an expressway infrared intelligent information service system. A vehicle-mounted infrared sensor containing electronic money is mounted in the vehicle, and on the expressway a complete set of position-coded speed-measuring load-measuring sensor group, infrared position receiving device and infrared intelligent information device can be mounted at a certain distance. The vehicle speed and load informations can sensed by speed-measuring load-measuring sensor group and can be transferred into the infrared inteligent information device. Said invention also provides the operation method of said service system by using the above-mentioned all the components. Said invented system can implement quick tollings, quick prewarning, quick salvage, location service and automatic information management of expressway."
84,11.278195488721805,CN203365408U,"A novel replaceable multi-gas determination device with a uniform interface comprises an infrared communication interface, an OLED (Organic Light Emitting Diode) display, an acousto-optic alarm, a power supply management device, a low power consumption mixed signal microprocessor, a communication interface and sensor modules, wherein the infrared communication interface, the OLED display, the acousto-optic alarm and the power supply management device are connected with the low power consumption mixed signal microprocessor; and the sensor modules are connected with the communication interface. The intelligent modular design, multifunctional and subminiature digital determination device designed by a high-performance microcontroller and novel electronic components is small in size, light in weight, complete in function, simple and easy to use, etc."
124,11.2,CN201112500Y,"An intelligent power charging and supplying mobile device relates to electronic appliances, particularly to an intelligent power charging and supplying mobile device which can be combined with a mini refrigerator as a whole. The structure of the device comprises a mobile device body, a remote controller, a charger. The mobile device body comprises a mobile device body base, a rotating wheel and a motor. The rotating wheel is arranged at the bottom of the mobile device body base, the motor drives the rotating wheel to run; the mobile device body also comprises an electrical device, a control circuit board, a charging battery, an infrared sensor, a compass, an ultrasonic locating device and a charging interface arranged on the mobile device body base, the control circuit is arranged on the control circuit board; the remote controller is installed with commands including forward, back, left turn, right turn and acceleration; the charger is arranged in the same room of the mobile device body and arranged on the wall or in proper position on other components and is capable of being loaded on the mobile device body and charging the battery, and the charger is further provided with an infrared emission device. Through the intelligent power charging and supplying mobile device, household appliances can be moved at will. Furthermore, the mobile device has intelligent power charging function."
109,10.878661087866108,CN102409458A,"The invention discloses a yarn state detecting device based on a small-size image sensor and a detecting method. The yarn state detecting device comprises a circuit board and an electronic control device arranged on the circuit board, wherein the electronic control device comprises a power supply circuit, a processor, a communication interface circuit, a state indicating lamp, an image sensor, an image buffer, an infrared emission unit and an intelligent detecting algorithm, the state indicating lamp is used for state indication, the image sensor is in charge of collecting yarn images, the image buffer is connected with the image sensor and is connected with the processor, the infrared emission unit is connected with the processor, and the intelligent detecting algorithm is arranged inside the processor and is used for detecting the yarn state. The image sensor is set into a charge coupled device (CCD) or complementary metal oxide semiconductor (CMOS) infrared linear image sensor, and an infrared filter plate is arranged on the sensor. The infrared emission unit is arranged right above the image sensor, and yarns pass through a position under the infrared emission unit and are projected onto the image sensor. The intelligent detecting algorithm detects the moving state of the yarns, and the moving state is displayed through the state indicating lamp."
20,10.596026490066224,CN205529970U,"The utility model provides a dedicated intelligent electronic display screen is instructed to road, organize and hold the device including the display screen, it is equipped with the cavity in the device to hold, display screen group installs in the cavity through flexible drive arrangement, the top that holds the device still is equipped with solar panel, it is equipped with the time -recorder in the device to hold, time -recorder electrically connected controller, controller electric connection solar panel, input panel, battery, flexible drive arrangement, display screen group and human infrared sensor, the battery setting is in holding the device, human infrared sensor sets up on holding the device, and this dedicated intelligent electronic display screen is instructed to road is novel in design, and application scope is wide, and intelligent degree is high."
